연번,보험구분,사업장명,사업장우편번호,사업장주소,고용보험 업종코드,고용보험 업종명,산재보험 성립일자,고용보험 성립일자,산재보험 상시근로자수,고용보험 상시근로자수,산재보험 사업구분,고용보험 사업구분,사업자등록번호,사업장관리번호,고용보험 업종코드(제11차),고용보험 업종명(제11차)
1134287,0,하나치과의원,61407,광주광역시 동구  갈마로 6,86103,치과 병원,36708,36069,2,2,계속,계속,4099607988,40996079880,86103,치과 병원
1134295,0,이민오외과,61401,광주 동구 서암대로 328,86201,일반 의원,36708,36069,3,3,계속,계속,4099610348,40996103480,86201,일반 의원
1134322,0,시온의원,61405,광주 동구 필문대로 98,86201,일반 의원,36708,36069,3,3,계속,계속,4099612026,40996120260,86201,일반 의원
1134339,0,광주치과의원,61487,광주광역시 동구  문화전당로 21,86202,치과 의원,36708,36069,6,6,계속,계속,4099612967,40996129670,86202,치과 의원
1134392,0,올바른의원,61406,광주 동구 필문대로 124,86201,일반 의원,44757,44757,17,17,계속,계속,4099923295,40999232950,86201,일반 의원
1134480,0,우리약국,61489,광주 동구 제봉로 37,47811,의약품 및 의료용품 소매업,36892,36892,1,1,계속,계속,4100186804,41001868040,47811,의약품 및 의료용품 소매업
1134484,0,커피타다,61447,광주 동구 지호로 125,56229,기타 비알코올 음료점업,41792,41792,1,1,계속,계속,4100188817,41001888170,56229,기타 비알코올 음료점업
1134499,1,한진공업사,61502,광주 동구 지원로6번길 19,,,41242,,1,0,일괄유기,,4100233487,41002334876,,
1134521,1,제일기업,61512,광주광역시 동구 남문로 278,,,45737,,1,0,일괄유기,,4100265183,41002651836,,
1134539,0,평화식당,61484,광주 동구 서석로7번길 6-27,56111,한식 일반 음식점업,38597,38597,9,9,계속,계속,4100288056,41002880560,56111,한식 일반 음식점업
1134602,0,광주음향기획,61418,광주광역시 동구 경양로379번길 20,75992,"전시, 컨벤션 및 행사 대행업",45627,45627,1,1,계속,계속,4100340194,41003401940,75992,"전시, 컨벤션 및 행사 대행업"
1134613,0,두레마트,61417,광주 동구 무등로 416,47121,슈퍼마켓,43409,43409,1,1,계속,계속,4100345786,41003457860,47121,슈퍼마켓
1134627,0,혜진빌딩,61444,광주 동구 준법로 4,68212,비주거용 부동산 관리업,41138,41138,1,1,계속,계속,4100352725,41003527250,68212,비주거용 부동산 관리업
1134837,0,씽씽모터샵,61505,광주 동구 남문로 536,45301,모터사이클 및 부품 도매업,43481,43481,1,1,계속,계속,4100499372,41004993720,45301,모터사이클 및 부품 도매업
1134853,0,프린트팩토리,61487,광주 동구 문화전당로23번길 7,18129,기타 인쇄관련 산업,40848,40848,1,1,계속,계속,4100522448,41005224480,18129,기타 인쇄관련 산업
1134885,0,상고당,61476,광주광역시 동구  금남로 162-10,46452,"문구용품, 회화용품, 사무용품 도매업",36708,36526,1,1,계속,계속,4100538009,41005380090,46452,"문구용품, 회화용품, 사무용품 도매업"
1134920,1,오렌지,61419,광주 동구 독립로 344,,,42201,,3,0,일괄유기,,4100557947,41005579476,,
1134990,0,관심이레공인중개사사무소,61424,광주 동구 경양로  234,68221,부동산 중개 및 대리업,43617,43617,1,1,계속,계속,4100622218,41006222180,68221,부동산 중개 및 대리업
1135021,0,리볼트,61478,광주 동구 독립로226번길 24,33110,귀금속 및 관련제품 제조업,37343,37343,1,1,계속,계속,4100640986,41006409860,33110,귀금속 및 관련제품 제조업
1135100,0,반도문화사,61487,광주광역시 동구  문화전당로23번길 5-16,18111,경 인쇄업,32509,35855,1,1,계속,계속,4100692830,41006928300,18111,경 인쇄업
1135126,0,아이디정보,61471,광주광역시 동구  독립로264번길 2-2,47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41855,41855,1,1,계속,계속,4100756919,41007569190,47311,"컴퓨터 및 주변장치, 소프트웨어 소매업"
1135287,0,부산어묵오양유통,61404,광주 동구 무등로375번길 26-8,46329,기타 가공식품 도매업,43215,43215,1,1,계속,계속,4100889265,41008892650,46329,기타 가공식품 도매업
1135301,0,원종합상사,61400,광주광역시 동구 독립로368,46621,배관 및 냉ㆍ난방장치 도매업,41228,41228,1,1,계속,계속,4100930359,41009303590,46621,배관 및 냉ㆍ난방장치 도매업
1135326,0,중산건기,61434,광주 동구 동명로20번길 17,42600,건설장비 운영업,37803,37803,1,1,계속,계속,4100967292,41009672920,42600,건설장비 운영업
1135446,0,크로바정보,61439,광주 동구 필문대로191번길 42-1,46452,"문구용품, 회화용품, 사무용품 도매업",43525,43525,1,1,계속,계속,4101245089,41012450890,46452,"문구용품, 회화용품, 사무용품 도매업"
1135464,0,삼호의료기,61487,광주 동구 문화전당로 3-1,46593,정밀기기 및 과학기기 도매업,42887,42887,1,1,계속,계속,4101265426,41012654260,46593,정밀기기 및 과학기기 도매업
1135478,1,알마니,61402,광주 동구 중앙로 358,,,42816,,0,0,일괄계속,,4101286912,41012869126,,
1135492,0,광주평화약국,61468,광주 동구 제봉로 64,47811,의약품 및 의료용품 소매업,38534,38534,1,1,계속,계속,4101348986,41013489860,47811,의약품 및 의료용품 소매업
1135502,0,파리바게트조대병원점,61453,광주 동구 필문대로 365,47221,"빵류, 과자류 및 당류 소매업",40336,40336,4,4,계속,계속,4101364517,41013645170,47221,"빵류, 과자류 및 당류 소매업"
1135515,0,한복나래,61484,광주 동구 서석로 5,47415,한복 소매업,44743,44743,6,6,계속,계속,4101372773,41013727730,47415,한복 소매업
1135520,0,세무공감,61480,광주광역시 동구 구성로 156,71202,세무사업,37622,37622,6,6,계속,계속,4101375348,41013753480,71202,세무사업
1135617,0,교대헤어매직,61404,광주 동구 무등로375번길 24,96112,두발 미용업,43035,43035,1,1,계속,계속,4101445313,41014453130,96112,두발 미용업
1135762,0,일등건설중기(현대크레인),61489,광주 동구 양림로119번길 7,42600,건설장비 운영업,44013,44013,2,2,계속,계속,4101528626,41015286260,42600,건설장비 운영업
1135830,0,공영시스템,61423,광주광역시 동구  경양로277번길 3,46799,그 외 기타 상품 전문 도매업,42125,42125,1,1,계속,계속,4101569383,41015693830,46799,그 외 기타 상품 전문 도매업
1135854,0,에스엠마트<운림점>,61494,광주 동구 의재로 138,47121,슈퍼마켓,41760,41760,5,5,계속,계속,4101578368,41015783680,47121,슈퍼마켓
1135941,0,행복미디어,61483,광주 동구 충장로안길  14,62010,컴퓨터 프로그래밍 서비스업,41422,41422,1,1,계속,계속,4101646714,41016467140,62010,컴퓨터 프로그래밍 서비스업
1135994,0,엠에스시스템,61487,광주 동구 문화전당로23번길 8-2,47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",43626,43626,1,1,계속,계속,4101684848,41016848480,47311,"컴퓨터 및 주변장치, 소프트웨어 소매업"
1136050,0,봉광기업,61419,광주광역시 동구 중흥로213번길 12-9,42412,"도배, 실내장식 및 내장 목공사업",43330,43330,1,1,일괄유기,일괄유기,4101754865,41017548656,42412,"도배, 실내장식 및 내장 목공사업"
1136057,0,베스킨라빈스학동점,61463,광주 동구 남문로 664,56150,제과점업,41791,41791,7,7,계속,계속,4101759287,41017592870,56150,제과점업
1136071,0,광덕종합유통,61428,광주 동구 동계천로 63,47190,그 외 기타 종합 소매업,39933,39933,3,3,계속,계속,4101766702,41017667020,47190,그 외 기타 종합 소매업
1136159,0,호반탑 공인중개사사무소,61421,광주광역시 동구  경양로235번길 1,68221,부동산 중개 및 대리업,41192,41192,1,1,계속,계속,4101928279,41019282790,68221,부동산 중개 및 대리업
1136276,0,아모레미림특약점,61407,광주 동구 필문대로 147,47813,"화장품, 비누 및 방향제 소매업",39995,39995,12,2,계속,계속,4101980464,41019804640,47813,"화장품, 비누 및 방향제 소매업"
1136449,0,개별화물,61433,광주광역시 동구  필문대로206번길 10-2,49301,일반 화물자동차 운송업,42095,42095,0,0,계속,계속,4102099635,41020996350,49301,일반 화물자동차 운송업
1136526,0,대한전기안전관리,61501,광주광역시 동구  학소로76번길 14,72122,환경 관련 엔지니어링 서비스업,36708,36069,2,2,계속,계속,4102183407,41021834070,72122,환경 관련 엔지니어링 서비스업
1136529,0,대신인테리어,61406,광주 동구 무등로449번길 22-5,42110,건물 및 구축물 해체 공사업,45784,45784,1,1,일괄유기,일괄유기,4102184084,41021840846,42110,건물 및 구축물 해체 공사업
1136543,0,동명사랑채,61430,광주광역시 동구 동계로9번길2,56111,한식 일반 음식점업,42005,42005,3,3,계속,계속,4102194559,41021945590,56111,한식 일반 음식점업
1136692,0,리치감정평가사사무소,61468,광주 동구 백서로 177,68223,부동산 감정평가업,39295,39295,1,1,계속,계속,4102332858,41023328580,68223,부동산 감정평가업
